
"Banco de México"

"Agregados monetarios y activos financieros internos"
"Agregados monetarios (metodología 2018)"

"Fecha de consulta: 26/11/2025 10:31:06"

""

"Título","Agregados Monetarios, M1"
01/05/2018,4154520320.45
01/06/2018,4286011488.37
01/07/2018,4173476691.65
01/08/2018,4197524436.42
01/09/2018,4159127404.13
01/10/2018,4204528593.23
01/11/2018,4350488324.33
01/12/2018,4492216319.62
01/01/2019,4323954421.05
01/02/2019,4306875852.80
01/03/2019,4315849487.16
01/04/2019,4290374415.06
01/05/2019,4338162025.54
01/06/2019,4351788055.20
01/07/2019,4311122441.76
01/08/2019,4390415277.68
01/09/2019,4331168999.26
01/10/2019,4337305969.90
01/11/2019,4511911114.12
01/12/2019,4702035012.05
01/01/2020,4556118434.10
01/02/2020,4600700186.36
01/03/2020,4874195864.95
01/04/2020,5109698027.58
01/05/2020,5157284139.82
01/06/2020,5173582445.51
01/07/2020,5246041226.24
01/08/2020,5244100368.54
01/09/2020,5223455851.02
01/10/2020,5329239333.98
01/11/2020,5384565666.96
01/12/2020,5645704961.07
01/01/2021,5589227605.04
01/02/2021,5581783983.40
01/03/2021,5692423852.13
01/04/2021,5698798441.53
01/05/2021,5717440525.32
01/06/2021,5758688675.28
01/07/2021,5868894949.56
01/08/2021,5854176324.51
01/09/2021,5880840328.40
01/10/2021,5936065869.65
01/11/2021,6105346298.06
01/12/2021,6377133888.75
01/01/2022,6297482085.39
01/02/2022,6368246316.43
01/03/2022,6352134445.50
01/04/2022,6428968873.15
01/05/2022,6419320095.64
01/06/2022,6459704343.15
01/07/2022,6511144564.68
01/08/2022,6447116014.31
01/09/2022,6436513271.79
01/10/2022,6488318838.89
01/11/2022,6602502771.21
01/12/2022,6926065214.59
01/01/2023,6670315372.97
01/02/2023,6639864718.36
01/03/2023,6650740110.32
01/04/2023,6674672356.47
01/05/2023,6679350987.58
01/06/2023,6741457180.83
01/07/2023,6810745353.50
01/08/2023,6811960060.91
01/09/2023,6850744488.66
01/10/2023,6953980120.62
01/11/2023,7109144829.09
01/12/2023,7442319163.22
01/01/2024,7281862183.76
01/02/2024,7422935452.25
01/03/2024,7445688555.91
01/04/2024,7344490797.92
01/05/2024,7417060185.55
01/06/2024,7509316809.57
01/07/2024,7517595351.23
01/08/2024,7601890449.81
01/09/2024,7620776900.29
01/10/2024,7667574679.44
01/11/2024,7962476750.36
01/12/2024,8304519124.43
01/01/2025,8076727183.44
01/02/2025,8044725659.29
01/03/2025,7984228844.59
01/04/2025,8014131476.14
01/05/2025,8088803844.72
01/06/2025,8123506106.23
01/07/2025,8153317967.04
01/08/2025,8189664342.11
01/09/2025,8154537925.11

