
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Principales índices mensuales"

"Fecha de consulta: 26/11/2025 09:27:21"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","IPC Por objeto del gasto Nacional, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Oct 2025"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jul 2018"
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP1"
01/09/2020,108.114000000000
01/10/2020,108.774000000000
01/11/2020,108.856000000000
01/12/2020,109.271000000000
01/01/2021,110.210000000000
01/02/2021,110.907000000000
01/03/2021,111.824000000000
01/04/2021,112.190000000000
01/05/2021,112.419000000000
01/06/2021,113.018000000000
01/07/2021,113.682000000000
01/08/2021,113.899000000000
01/09/2021,114.601000000000
01/10/2021,115.561000000000
01/11/2021,116.884000000000
01/12/2021,117.308000000000
01/01/2022,118.002000000000
01/02/2022,118.981000000000
01/03/2022,120.159000000000
01/04/2022,120.809000000000
01/05/2022,121.022000000000
01/06/2022,122.044000000000
01/07/2022,122.948000000000
01/08/2022,123.803000000000
01/09/2022,124.571000000000
01/10/2022,125.276000000000
01/11/2022,125.997000000000
01/12/2022,126.478000000000
01/01/2023,127.336000000000
01/02/2023,128.046000000000
01/03/2023,128.389000000000
01/04/2023,128.363000000000
01/05/2023,128.084000000000
01/06/2023,128.214000000000
01/07/2023,128.832000000000
01/08/2023,129.545000000000
01/09/2023,130.120000000000
01/10/2023,130.609000000000
01/11/2023,131.445000000000
01/12/2023,132.373000000000
01/01/2024,133.555000000000
01/02/2024,133.681000000000
01/03/2024,134.065000000000
01/04/2024,134.336000000000
01/05/2024,134.087000000000
01/06/2024,134.594000000000
01/07/2024,136.003000000000
01/08/2024,136.013000000000
01/09/2024,136.080000000000
01/10/2024,136.828000000000
01/11/2024,137.424000000000
01/12/2024,137.949000000000
01/01/2025,138.343000000000
01/02/2025,138.726000000000
01/03/2025,139.161000000000
01/04/2025,139.620000000000
01/05/2025,140.012000000000
01/06/2025,140.405000000000
01/07/2025,140.780000000000
01/08/2025,140.867000000000
01/09/2025,141.197000000000
01/10/2025,141.708000000000

